# S 参数验证数据 — PSR_ROTATE_ADIABATIC_BLT_v1
# 求解器: Tidy3D EME 3D | 配置: EMEExplicitGrid 157 单元 (锥 2um/界面 0.5um/其余 5um), 端口模式数 2, constraint=unitary
# 端口模式: in0=TE0(neff 2.412) in1=TM0(1.809) | out0=宽臂0.65um TE0(2.649) out1=窄臂0.50um TE0(2.498)  [@1.58um]
# 列名前缀: TM0->  = 该波长的转换效率(自洽, 可引用); Tcol_ = 该输入模式的总透射(<=1)
# abs_* = 绝对 |S21|^2 (受端口模式归一化影响, TE0->宽臂 数值异常, 不可当插损引用; 见 ../README.md 的 Scope & limitations)
# *_pct = 归一化相对份额(与端口模式归一化无关, 可引用)
wavelength_um,TM0_to_narrow_TE0,Tcol_in_TM0,TE0_to_wide_TE0_abs,TE0_to_narrow_TE0_abs,TE0_to_TM_65_abs,TE0_to_TM_50_abs,TE0_wide_share_pct,TE0_narrow_share_pct,TE0_TM_share_pct
1.5000,0.9457,0.9580,6.8507,0.0001,0.0135,0.0043,99.7381,0.00190,0.2600
1.5100,0.9576,0.9700,4.5772,0.0000,0.0099,0.0008,99.7670,0.00006,0.2329
1.5200,0.9647,0.9780,5.4341,0.0001,0.0009,0.0021,99.9433,0.00172,0.0549
1.5300,0.9673,0.9810,6.3234,0.0000,0.0126,0.0020,99.7694,0.00045,0.2301
1.5400,0.9528,0.9780,5.8586,0.0001,0.0066,0.0009,99.8705,0.00099,0.1285
1.5500,0.9582,0.9660,5.5183,0.0001,0.0001,0.0026,99.9497,0.00171,0.0486
1.5600,0.9283,0.9340,4.7798,0.0000,0.0035,0.0014,99.8985,0.00058,0.1009
1.5700,0.9470,0.9510,2.9931,0.0001,0.0025,0.0010,99.8797,0.00381,0.1165
1.5800,0.9239,0.9330,3.9540,0.0000,0.0002,0.0020,99.9435,0.00113,0.0554
